,idade,individuo_id,area_foliar_especifica,area_foliar_individual,comprimento_foliar,largura_foliar,potencial_hidrico_foliar,target_final
361,36,1272.0,100.5,41.71,14.17,4.35,-2.81,1
362,6,2065.0,135.35,14.36,8.54,2.73,-2.1,0
363,6,2623.0,157.33,15.78,8.27,3.06,-1.96,0
364,18,2623.0,112.44,30.3,12.56,3.96,-3.1,0
365,6,3125.0,120.84,27.67,11.19,4.05,,0
366,18,3125.0,,,17.58,4.08,-2.54,0
367,30,3125.0,90.96,32.65,12.29,3.57,-3.57,0
368,6,3758.0,134.15,27.08,10.45,4.22,-2.14,1
369,18,3758.0,98.83,26.64,13.1,3.51,-2.34,1
370,36,3758.0,95.0,26.55,12.39,3.32,-2.08,1
371,6,716.0,103.37,47.32,16.48,4.7,-2.54,1
372,30,716.0,72.24,49.31,19.07,4.28,-4.19,1
373,36,716.0,82.51,35.52,15.7,3.28,,1
374,6,1224.0,,,,,-2.0,0
375,18,1224.0,81.63,33.73,15.46,3.64,,0
376,30,1224.0,89.97,24.74,14.25,2.97,-3.92,0
377,6,1777.0,98.43,24.19,12.35,3.17,-2.38,1
378,18,1777.0,80.5,49.43,15.66,5.27,-2.45,1
379,30,1777.0,84.84,34.06,12.33,4.04,-4.06,1
380,6,2625.0,95.77,48.66,16.15,4.73,-2.11,0
381,6,3139.0,85.38,40.09,15.9,4.1,,0
382,6,4283.0,110.51,37.54,13.01,4.36,-2.0,1
383,30,4283.0,76.66,49.52,20.56,3.46,-4.06,1
384,36,4283.0,73.06,34.78,18.0,3.08,-2.51,1
385,6,441.0,138.68,38.86,12.57,4.98,-2.28,1
386,18,441.0,70.09,63.57,17.29,5.34,-1.94,1
387,6,1143.0,,,,,-2.8,1
388,18,1143.0,69.8,66.24,19.82,5.48,-2.36,1
389,6,1912.0,97.1,54.61,13.17,5.9,-2.38,1
390,18,1912.0,79.68,74.37,21.14,5.59,-2.26,1
391,6,2504.0,144.62,27.22,9.65,4.2,-2.31,0
392,18,2504.0,88.69,51.4,19.15,4.66,-2.8,0
393,6,3834.0,142.11,28.17,8.55,4.47,-2.6,0
394,18,3834.0,112.64,21.2,9.29,3.41,-3.12,0
395,6,464.0,103.91,60.48,14.18,6.25,-2.44,1
396,18,464.0,112.96,27.68,10.34,4.28,-1.96,1
397,30,464.0,63.87,65.79,17.39,5.74,-2.73,1
